TITLE,COMPANY,SALARY,Gender Identity / Ethnicity,YEARS OF EXPERIENCE,LOCATION,JOB DUTIES,PREV SALARIES/TITLES/ETC
Editor ll,Healthline Media,"72,000",Cis white female,8,San Francisco/Bay Area,"Developmental editing, assigning, sourcing and managing writers, overseeing team production and admin, etc.","All titles are arbitrary as duties haven't really changed since starting at this company:
- Editor l: ~63,000 in 2018
- Associate editor (now defunct position): ~58,000 in 2017
- Assistant editor (became salaried): ~51,000 in 2016
- Editorial assistant (full-time contract, verbal agreement to move to full-time salaried in January 2016): ~42,000 in 2015"
Fellow,Hearst,"$40,000 ",cis woman PoC,1,Houston,"Reporting twice weekly column, podcasting, contributing monthly features","$52,000 at the San Francisco Chronicle (same fellowship) "
Social Media Producer,Hearst,"40,000",cis white female,2,,,
Fellow,Hearst,"$40,000 ",CIS female white,6,"Houston, TX",General assignment reporter,"$36,000/Reporter"
Assistant Editor,Hearst,$25/hour,CIS White Female,4,New York City,"- writing new web content daily (celeb/entertainment news & SEO search stories)
- updating old content","data journalist $42,000
local news reporter $33,000"
Senior Fashion Editor,Hearst,"$61,000 ","White, cis, female",5,NYC,Everything,
Junior Motion Graphics Designer,Hearst,"$58,500 ",Cis white female,2,NYC,Digital motion design across social platforms and website,
Editorial Assistant,Hearst,"$33,950 plus overtime",cis white female,1.5,NYC,"writing digital and print content, managing boss's calendar, scheduling meetings, etc. ",Editorial fellow at Hearst - $15/hour
Reporter,Hearst,"40,800",Cis white male ,6,Houston ,"Write stories, shoot and edit video, build slideshows ","Reporter, $26K, $30K"
Senior Beauty Editor,Hearst,"75,000","white, female",5,"new york, ny",,"60,000 as beauty editor. got a bump when i got another offer"
Digital Editor ,Hearst,"65,000",cis white female,5,NYC,"Write, edit and publish stories on fashion and beauty, style photo shoots ",
Senior Editor,Hearst,"80,000",white cis female,7,NYC,,"digital editor 65k, editor 58k, associate editor, 50k, assistant editor 45k"
Digital Editor,Hearst,85000,cis Male/mixed,5,New York City,"Run website, manage social posting, responsible for growth",
Sr. Digital Editor,Hearst,"$65,000 ",Cis-gender white female,8,NYC,"Brainstorming, assigning, and editing content for the website. Managing website's social media pages. Developing content and social media strategies. Optimizing content for search. ","$71K (Health Editor, INSIDER Inc.)
$65K (Lifestyle Editor, Bustle)"
Associate Producer,Hearst,"58,500",Female CIS,1.5,New York,"produce, edit, shoot",
Reporter,Hearst,$52K,"Female, Hispanic",6,San Antonio,Beat reporter,"$47K with Tronc for breaking news/courts, $32,500 with Gannett for beat reporter position"
Senior Editor,Hearst,"68,000",white female,9.5,NYC,,
Reporter,Hearst,"$50,000 ",Cis white female,4,San Antonio,Daily beat reporter,
Director (Major Section) ,Hearst,"$145,000 ",Cis Female/white,20,New York,Manage several editors; write and edit articles (20+ pages a month + 25+ digital stories/month); work on marketing programs & branded content for sales side,"Hearst senior editor $68K, Time inc. senior editor $75k - $90k, Rodale deputy editor $110k"
Director,Hearst,"$95,000 ",white cis female,15,"New York, NY","writing and editing for print and digital, strategy, assigning, managing, overseeing budget, etc.","Director, $97,500; Senior Features Editor, $80,000, Senior Editor, $60,000 etc."
Researcher/Archivist,Hearst,"47,000","Female, white",4,San Antonio,,
Art Director & Senior Motion Graphics Designer ,Hearst,"58,600",Asian/Male,27,FL,"Create on air graphics for 3 stations, print and advertising media, teach juniors how to do their jobs. ",
Beauty Assistant,Hearst,"$32,000 + OT",Cis Black Female,2,"New York, NY","admin, writing for print and digital, video, oversee interns",
Editor,Hearst,"45,900",Cis white/Hispanic female,5,Connecticut,,
Assistant editor,Hearst,$25/hour plus overtime + freelance work on the side,"Cis, female, Latina",3,"New York, New York","Write articles, update old ones @ Hearst. Report and write stories for freelance.","Digital reporter - $14K
Editorial Associate - $40K"
Advertising Coordinator,Hearst,"38,000 after taxes",White female,2,NY,"assist 3 Ad sales directors with sales tasks, travel, meeting bookings, etc.",
Reporter,Hearst,"$47,000 ","CIS female, hispanic",4,Texas city,,
Homepage Producer,Hearst,"$57,000 ",Cis white male,3,Houston,"Run homepage, pull together morning/afternoon newsletters, send daily desktop alerts and breaking news emails, write, edit and package stories, advise reporters and editors on content choices, assist with social media when needed","$38,000 (Web Producer, Hearst)
$40,000 (Audience Engagement Editor, McClatchy)"
Fellow,Hearst,$15/hr,Cis asian female,1,NYC,,
Reporter,Hearst,"$52,000 ","Female, White Latinx",10,Houston,"Report and write 3-5 stories per week for a weekly features section, plus a luxury magazine; social media and branding; beat reporting","$41K as reporter for Gannett property for one year, but $35K for three years prior"
Former Style & Grooming Editor,Hearst,"$55,000 ",queer white male,3,New York,"Write at least three stories a day (mostly e-commerce based), manage freelancers and editorial fellow",
Senior editor,Hearst,"70,000",Cis white female,9,New York,Print and digital ,"Previous (different company): features editor, $75,000"
photography director,hearst,"130,000",female,18,"new york, ny","managing department of 3-4 associates; booking photo shoots, managing budgets.",
Digital Producer,Hearst,"$53,000 ",White cis male,10,Connecticut,,
Designer,Hearst,"58,000",Male,,"New York, NY",,
Editorial Assistant,Hearst ,"$38,000+ OT ($33,00 after tax)",cis black femaile,1.5,New York,"Daily news pitches/writing, SEO writing across verticles, feature writing/pitching, administrative duties (freelance contracts and invoices, expenses, freelancer CMS training)",
Assistant Snapchat Editor,Hearst (Cosmopolitan),"$58,500 ",cis het white female,3,New York City,"Curate and publish the Cosmo Stories snapchat edition, plan the editorial content for our daily Cosmopolitan Snapchat Discover edition, pitch and write for the print magazine's YOU section, edit video posts for the site, co-manage the editorial fellow, write up weekly and monthly reports for snapchat, act as a snapchat liason between the Cosmo US team and the Cosmo UK team, pitch and write stories for Cosmo's Snapchat channels, strategize editorial direction for snapchat channels, assist the Snapchat Editor for miscellaneous duties",Editorial Fellow
Sex & Relationships Editor,Hearst (Cosmopolitan),"60,000","Cishet WOC, Asian",5,NYC,"Write digital posts daily, write and edit in two sections of in-book magazine","Assistant Snapchat Editor 40k, Weekend Social Media Editor (permalance) 29k, hired as an intern at the company."
News Writer,Hearst (Cosmopolitan) ,"58,500",Woman/POC ,3,New York City,print and digital news ,"editorial assistant, writer, master's degree "
Senior Editor,Hearst (Lifestyle Group),"$70,000 ",Cis POC female,10,NYC ,,
staff writer,Hearst (Lifestyle Group),"62,000",cis white female,10,NYC,"pitch, report, and write stories for both print and digital. ",
Supervising Producer,Hearst Digital Media,"75,000",Female,6,"New York, NY","Manager of video team, Producer, ","65,000 Producer"
Content Strategy Manager,Hearst Digital Media,"$65,000 ",cis white female,3,NYC,"Manage all social platforms including FB, Instagram, YouTube, TikTok, Twitter","Social Media Editor--$58,500, Associate Social Media Editor--$20/hr"
Site director,Hearst Digital Media,"$130,000 ",Cis white female,12,NYC,Oversee digital editorial for two HDM brands ,
Deputy Editor,Hearst Magazines,"85,000",White cis male,5,New York City,"Pitching, writing, and editing for digital; content strategy and audience development; print-to-digital integration",
Senior News Writer,Hearst Magazines,"50,000",Cis white male,3,Los Angeles,"Write long-format, digital entertainment news stories primarily for Youtube. (I also run their social media accounts but that is not part of my job title, compensation)",Production Assistant - E! News - $38000
Reporter,Hearst Newspapers ,"13.25/hour ~ 32,000/year ",Cis white female,3,Houston,"Report on communities outside of the Houston metro area, take photos, produce online and print content, pitch story ideas, etc. ",
Assistant Fashion Editor,Hearst-Cosmopolitan,"58,500",cis female POC ,3,New York City,"SEO posts, writing print pages, market research, photo research, writing news stories, reporting, writing headlines and deks, editing ","Freelance Accessories Assistant (W mag), Moda Operandi (Production Assistant $18.27/hour) "
Associate Entertainment Editor,"Hearst, Cosmopolitan","$62,500 ",white cis female,3,New York,"Pitching and executing 1-3 digital entertainment stories every day, writing 2-3 entertainment stories for print monthly, interviewing celebrities, doing a weekly Instagram live show, pitching comprehensive coverage plans around certain shows and movies, executing SEO-oriented ideas ","News Writer - $58,500, Editorial Assistant - $40,000 plus overtime "
Social Media Editor,"Hearst, Cosmopolitan","$58,500 ",Cis white female,3,New York City,"I manage facebook, twitter, flipboard, and apple news platforms, assist with YouTube strategy, Instagram (but I build all of the Instagram Stories), I'm responsible for bringing in social traffic, making reports, working cross-functionally with design, video, edit, branded content, and a centralized analytics / strategy team. ","Assistant Social Media Editor, $46,000 (in Boston)"
Photojournalist,"Hearst, San Francisco Chronicle","65,000","Female, Straight, Mostly White",5,San Francisco ,Photographing everything,
Managing Editorial Assistant,Henry Holt (imprint of MacMillan),37K (after 2+ years in position),Cis White Male,5,"New York, NY","Copyedit, Proofread, Hire + Manage + Pay freelancers, create schedules, serve as project manager on at least 2 books a season, arrange and conduct meetings",
Journalism Teacher,High School,"$56,000 ","Male, White",7,"Boston, MA",Teaching high students how to produce media and broadcasting content.,"News Photographer, $65,000"
Multimedia producer,higher ed,72000,male / latinx,17,New England,Produce video and photo for higher ed non profit,55000 / staff photographer / daily newspaper (large urban metro)
Senior Writer,Higher ed alumni magazine,"$67,000 per annum",cis het white male,20,"Baltimore, MD","Pitch, research, report, fact check short-form news and longer features for both digital and print publication and social media; collaborate with art/photo/video teams on story-related projects.","Alt-wekly arts editor ($43,000); daily newspaper pop music critic ($42,000); alt-weekly music editor ($30,000); alt-weekly music & film writer ($21,000)."
Staff reporter,Hill Times Publishing,"35,000 (cad) = ~26,500 (USD)",cis het white male,~5 years ,"Ottawa, Ontario",Daily beat reporting,Digital content director at a midwest station - $32k
"Podcast producer, audio reporter",Honolulu Civil Beat,"$55,000 with 240 hours of PTO, 6% 401k matching, yearly 3% raise, comprehensive and affordable health care","White, Female, Queer",3,"Honolulu, Hawaii","Report, host and produce bi-weekly science podcast. Part of a 4-person team producing and reporting long-form investigative podcast. ","~$43K at NPR member station, Morning Edition producer. "
